Ano;Mês;Irradiação
2021;Jan;5.2
2021;Jan;4.98
2021;Jan;5.41
2021;Jan;5.42
2021;Jan;6.93
2021;Jan;5.06
2021;Jan;4.23
2021;Jan;6.02
2021;Jan;5.59
2021;Fev;5.47
2021;Fev;5.79
2021;Fev;6.26
2021;Fev;6.82
2021;Fev;6.85
2021;Fev;7.14
2021;Fev;6.92
2021;Fev;6.46
2021;Fev;5.23
2021;Fev;6.02
2021;Fev;6.21
2021;Fev;5.94
2021;Fev;6.75
2021;Fev;5.79
2021;Fev;5.76
2021;Fev;1.24
2021;Fev;4.25
2021;Fev;6.55
2021;Fev;5.77
2021;Fev;3.17
2021;Fev;6.66
2021;Fev;6.63
2021;Fev;5.36
2021;Fev;5.48
2021;Fev;6.79
2021;Fev;5.25
2021;Fev;5.83
2021;Fev;5.27
2021;Mar;5.04
2021;Mar;5.98
2021;Mar;6.0
2021;Mar;4.38
2021;Mar;3.69
2021;Mar;6.02
2021;Mar;2.87
2021;Mar;4.9
2021;Mar;6.56
2021;Mar;6.08
2021;Mar;6.0
2021;Mar;5.33
2021;Mar;5.91
2021;Mar;6.65
2021;Mar;5.47
2021;Mar;4.43
2021;Mar;3.76
2021;Mar;5.54
2021;Mar;6.76
2021;Mar;6.45
2021;Mar;4.83
2021;Mar;5.36
2021;Mar;5.91
2021;Mar;4.47
2021;Mar;3.5
2021;Mar;3.54
2021;Mar;1.42
2021;Mar;5.65
2021;Mar;6.4
2021;Mar;5.8
2021;Mar;2.36
2021;Abr;6.77
2021;Abr;6.39
2021;Abr;6.0
2021;Abr;6.27
2021;Abr;6.55
2021;Abr;6.24
2021;Abr;4.71
2021;Abr;5.98
2021;Abr;5.35
2021;Abr;6.63
2021;Abr;2.69
2021;Abr;6.21
2021;Abr;5.07
2021;Abr;6.36
2021;Abr;4.85
2021;Abr;6.26
2021;Abr;5.14
2021;Abr;5.03
2021;Abr;4.46
2021;Abr;5.79
2021;Abr;5.81
2021;Abr;5.27
2021;Abr;4.4
2021;Abr;4.73
2021;Abr;6.27
2021;Abr;6.5
2021;Abr;6.49
2021;Abr;5.66
2021;Abr;5.1
2021;Abr;5.51
2021;Mai;5.78
2021;Mai;3.65
2021;Mai;2.23
2021;Mai;2.63
2021;Mai;4.61
2021;Mai;4.32
2021;Mai;5.92
2021;Mai;4.25
2021;Mai;6.17
2021;Mai;6.13
2021;Mai;5.61
2021;Mai;5.4
2021;Mai;3.55
2021;Mai;1.5
2021;Mai;3.51
2021;Mai;6.09
2021;Mai;5.98
2021;Mai;5.84
2021;Mai;5.21
2021;Mai;6.08
2021;Mai;6.17
2021;Mai;5.96
2021;Mai;5.65
2021;Mai;5.86
2021;Mai;6.1
2021;Mai;6.13
