Ano;Mês;Dia;Irradiação
2020;Fev;26;4,92
2020;Fev;27;5,04
2020;Fev;28;5,67
2020;Mar;29;6,07
2020;Mar;1;5,13
2020;Mar;2;5,51
2020;Mar;3;6,25
2020;Mar;4;4,16
2020;Mar;5;6,34
2020;Mar;6;6,36
2020;Mar;7;3,1
2020;Mar;8;5,98
2020;Mar;9;5,41
2020;Mar;10;4,54
2020;Mar;11;5,82
2020;Mar;12;4,94
2020;Mar;13;1,78
2020;Mar;14;4,29
2020;Mar;15;4,04
2020;Mar;16;3,65
2020;Mar;17;5,04
2020;Mar;18;6,67
2020;Mar;19;5,59
2020;Mar;20;6,23
2020;Mar;21;5,68
2020;Mar;22;6,78
2020;Mar;23;6,92
2020;Mar;24;6,1
2020;Mar;25;4,79
2020;Mar;26;4,99
2020;Mar;27;6,51
2020;Mar;28;6,72
2020;Mar;29;6,64
2020;Mar;30;0,73
2020;Abr;31;4,65
2020;Abr;1;3,04
2020;Abr;2;5,64
2020;Abr;3;4,88
2020;Abr;4;2,45
2020;Abr;5;5,28
2020;Abr;6;3,82
2020;Abr;7;5,36
2020;Abr;8;5,77
2020;Abr;9;4,62
2020;Abr;10;5,08
2020;Abr;11;5,53
2020;Abr;12;5,33
2020;Abr;13;4,8
2020;Abr;14;6,09
2020;Abr;15;4,98
2020;Abr;16;2,97
2020;Abr;17;4,33
2020;Abr;18;5,25
2020;Abr;19;6,46
2020;Abr;20;5,56
2020;Abr;21;0,72
2020;Abr;22;4,78
2020;Abr;23;5,65
2020;Abr;24;3,33
2020;Abr;25;3,25
2020;Abr;26;3,42
2020;Abr;27;1,79
2020;Abr;28;4,59
2020;Abr;29;3,72
2020;Mai;30;3,13
2020;Mai;1;3,25
2020;Mai;2;6,11
2020;Mai;3;5,38
2020;Mai;4;3,54
2020;Mai;5;5,89
2020;Mai;6;5,21
2020;Mai;7;5,91
2020;Mai;8;5,66
2020;Mai;9;3,95
2020;Mai;10;4,2
2020;Mai;11;5,96
2020;Mai;12;6,28
2020;Mai;13;6
2020;Mai;14;4,35
2020;Mai;15;1,8
2020;Mai;16;1,82
2020;Mai;17;6,27
2020;Mai;18;5,78
2020;Mai;19;5,2
2020;Mai;20;5,28
2020;Mai;21;4,68
2020;Mai;22;3,8
2020;Mai;23;5,09
2020;Mai;24;5,74
2020;Mai;25;6,15
2020;Mai;26;5,98
2020;Mai;27;6,08
2020;Mai;28;5,75
2020;Mai;29;5,21
2020;Mai;30;4,73
2020;Jun;31;3,76
2020;Jun;1;5,33
2020;Jun;2;5,9
2020;Jun;3;5,16
2020;Jun;4;4,85
2020;Jun;5;5,8
2020;Jun;6;5,84
2020;Jun;7;2,77
2020;Jun;8;5,95
2020;Jun;9;5,5
2020;Jun;10;4,31
2020;Jun;11;2,47
2020;Jun;12;2,74
2020;Jun;13;5,04
2020;Jun;14;5,04
2020;Jun;15;5,99
2020;Jun;16;5,73
